Unnamed: 0,id,stateId,countyId,cityId,country,datePostedString,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,longitude,latitude,hasBadGeocode,description,currency,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
295,95815-2069747109,9,3674,20288,USA,2021-07-05,0,0,Listed for sale,1625443200000.0,435000.0,137.0,Sacramento,CA,1920,715 Dixieanne Ave,95815.0,-121.45042419433594,38.60956573486328,0,This 3180 square foot multi family home has 5 bedrooms and 0.0 bathrooms. This home is located at 715 Dixieanne Ave Sacramento CA 95815.,USD,3180.0,3180.0,sqft,0.0,5.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
298,95815-26079200,9,3677,20288,USA,2021-06-30,0,0,Listed for sale,1625011200000.0,1535000.0,1802.0,Sacramento,CA,1960,1246 Acacia Ave,95815.0,-121.43821716308594,38.62148284912109,0,This 852 square foot multi family home has 7 bedrooms and 0.0 bathrooms. This home is located at 1246 Acacia Ave Sacramento CA 95815.,USD,852.0,852.0,Acres,0.0,7.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
300,95815-26078209,9,3679,20288,USA,2021-06-23,0,0,Listed for sale,1624406400000.0,374950.0,290.0,Sacramento,CA,1954,689 Santiago Ave,95815.0,-121.45108032226562,38.61217498779297,0,This 1292 square foot multi family home has 2 bedrooms and 0.0 bathrooms. This home is located at 689 Santiago Ave Sacramento CA 95815.,USD,1292.0,1292.0,sqft,0.0,2.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
302,95815-26079855,9,3681,20288,USA,2021-06-19,0,0,Listed for sale,1624060800000.0,109999.0,127.0,Sacramento,CA,1948,1029 Frienza Ave,95815.0,-121.44244384765624,38.61317443847656,0,Ready to build! Come check out the level lot to build your home! Power nearby public water sewer line near just need a home!,USD,865.0,865.0,sqft,0.0,2.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Sacramento County
304,95815-26089463,9,3683,20288,USA,2021-06-15,0,0,Listed for sale,1623715200000.0,489900.0,222.0,Sacramento,CA,1950,1503 El Monte Ave,95815.0,-121.46038055419922,38.60706329345703,0,This 2205 square foot multi family home has 3 bedrooms and 0.0 bathrooms. This home is located at 1503 El Monte Ave Sacramento CA 95815.,USD,2205.0,2205.0,sqft,0.0,3.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
321,94062-15571279,9,3704,114956,USA,2021-06-26,0,0,Listed for sale,1624665600000.0,998000.0,832.0,Redwood City,CA,1940,3506 Oak Knoll Dr,94062.0,-122.26248931884766,37.46499633789063,0,Prime Emerald Hills Location steps to Emerald Lake Country Club! Gentle downslope lot amongst exclusive homes. Approximately 9296 square foot lot with beautiful mature trees. Excellent Roy Cloud school.  Close to shopping parks and bustling Downtown Redwood City.,USD,1200.0,1200.0,sqft,0.0,2.0,0.0,0,0.0,0,0,0,0,0,0,LOT,San Mateo County
333,90302-20332755,9,3885,45888,USA,2021-07-08,0,0,Listed for sale,1625702400000.0,620000.0,502.0,Inglewood,CA,1938,326 E Beach Ave,90302.0,-118.3509750366211,33.968826293945305,0,Opportunity to own two separate houses on a lot. Great potential for owner occupant to live in one and rent out the other unit for additional income. Unit 1 is a 3 bed/1 bath. Unit 2 is a 2bed/2 bath. Each unit has individual electric and gas meter. Location is conveniently near stadium freeway and LAX. Both units were totaled remodeled in 2014 with laminate flooring new kitchen new window and new bathroom. Current rent is $3300/ month. Both units are fully occupied by long term tenants. Please DO NOT DISTURB tenants. DRIVE BY ONLY.,USD,1235.0,1235.0,sqft,0.0,0.0,1235.0,0,0.0,0,One,0,0,0,0,MULTI_FAMILY,Los Angeles County
426,95632-25956951,9,5062,24831,USA,2021-06-27,0,0,Listed for sale,1624752000000.0,485000.0,262.0,Galt,CA,1979,605 Ron Way,95632.0,-121.2987289428711,38.26676559448242,0,This 1850 square foot multi family home has 2 bedrooms and 0.0 bathrooms. This home is located at 605 Ron Way Galt CA 95632.,USD,1850.0,1850.0,sqft,0.0,2.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
461,96145-2069999736,9,5445,20742,USA,2021-06-22,0,0,Listed for sale,1624320000000.0,5000000.0,625.0,Tahoe City,CA,1979,3000 N Lake Blvd,96145.0,-120.11287689208984,39.18947219848633,0,"""The Dollar Hill Apartments in Tahoe City consist of 17 units in one 2-story building. There are nine 2 bed units and eight 1 bed units. This building was converted to apartments in 2020 so its effectively new. Rents average $3.65 per sqft and expenses are low. Ample parking for tenants its on the bike path and located close to Skylandia and Bristlecone beach. Proximate to all Tahoe work centers and the perfect location for tenants to live work and play. Offering Memorandum available upon request.""",USD,8000.0,8000.0,Acres,0.0,0.0,0.0,0,0.0,0,Two,0,0,1,0,MULTI_FAMILY,Placer County
481,93247-16277850,9,5737,19033,USA,2021-07-03,0,0,Listed for sale,1625270400000.0,50000.0,54.0,Lindsay,CA,1946,466 1st St #5,93247.0,-119.08740234375,36.207786560058594,0,Residential lot ready to build a small investment property on.,USD,924.0,924.0,sqft,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Tulare County
491,95818-2069617078,9,5772,20288,USA,2021-07-10,0,0,Listed for sale,1625875200000.0,1400000.0,332.0,Sacramento,CA,1960,2545 28th St,95818.0,-121.47672271728516,38.555965423583984,0,This 4213 square foot multi family home has 6 bedrooms and 0.0 bathrooms. This home is located at 2545 28th St Sacramento CA 95818.,USD,4213.0,4213.0,sqft,0.0,6.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
495,95811-240357600,9,5776,20288,USA,2021-07-09,0,0,Listed for sale,1625788800000.0,975000.0,267.0,Sacramento,CA,1890,800 T St,95811.0,-121.50079345703124,38.56974029541016,0,This 3658 square foot multi family home has 3 bedrooms and 0.0 bathrooms. This home is located at 800 T St Sacramento CA 95811.,USD,3658.0,3658.0,sqft,0.0,3.0,0.0,0,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
504,95818-25795865,9,5785,20288,USA,2021-07-08,0,0,Listed for sale,1625702400000.0,749999.0,438.0,Sacramento,CA,1977,3101 Santa Buena Way,95818.0,-121.51041412353516,38.55150985717773,0,This 1711 square foot multi family home has 2 bedrooms and 0.0 bathrooms. This home is located at 3101 Santa Buena Way Sacramento CA 95818.,USD,1711.0,1711.0,sqft,0.0,2.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
512,95816-25783874,9,5793,20288,USA,2021-07-07,0,0,Listed for sale,1625616000000.0,1495950.0,264.0,Sacramento,CA,1925,2714 H St,95816.0,-121.46914672851562,38.57590866088867,0,This 5663 square foot multi family home has 4 bedrooms and 0.0 bathrooms. This home is located at 2714 H St Sacramento CA 95816.,USD,5663.0,5663.0,sqft,0.0,4.0,0.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Sacramento County
692,94109-2078042786,9,9584,20330,USA,2021-07-12,0,0,Listed for sale,1626048000000.0,9350000.0,410.0,San Francisco,CA,1908,1201 Leavenworth St,94109.0,-122.41619110107422,37.7923583984375,0,"""1201 Leavenworth Street is a sixteen (16) unit apartment building on the corner of Sacramento Street & Leavenworth Street in the heart of Nob Hill. After owning the building for 75 years and four generations of family living in it the time has come to sell. With a walk score of ninety-nine (99) and transit score of one hundred (100) 1201 Leavenworth Street is a renters paradise.    This wood frame building is constructed over a concrete foundation and has a stucco and wood facade. Some of the character in the apartments are box beam ceilings wains coating and working fireplaces in all units (except unit 102). The building is separately metered for gas and electric. Heating is provided by steam heat radiators.    Large units with separate entrances at $410 per square foot. This is ideal for an owner occupier a TIC converter or an investor who would like to hold long term with upside and development conversion potential.""",USD,22828.0,22828.0,sqft,0.0,0.0,22828.0,0,0.0,0,0,0,0,0,0,MULTI_FAMILY,San Francisco County
693,94103-328520670,9,9585,20330,USA,2021-07-12,0,0,Listed for sale,1626048000000.0,3750000.0,750.0,San Francisco,CA,1921,85 Columbia Square St,94103.0,-122.40501403808594,37.77703094482422,0,This newly renovated 3 unit mixed use building is ideal for an owner-user wishing to utilize historically low SBA financing. However given its strong previous rents it may appeal to an investor as well. With two different entrances on the quiet streets of Columbia Square and Harriett this location enjoys easy freeway access while being in the heart of SOMA and directly across from a park. The current owners invested significant capital and time into making this property turn-key for the new buyer. The unit mix is: one 1356 sq. ft. 4 bedroom 2 bathroom apartment with roof deck one 2303 sq. ft. 2 bedroom 1.5 bathroom live or work Accessory Dwelling Unit (ADU) and one 1339 sq. ft. drive-in warehouse with office accessed via Harriett Street.     Property has street to street access and is directly across from Columbia Square Park.,USD,4998.0,4998.0,sqft,0.0,0.0,4998.0,1,0.0,1,0,0,0,0,0,MULTI_FAMILY,San Francisco County
722,94114-2077004913,9,9614,20330,USA,2021-07-09,0,0,Listed for sale,1625788800000.0,2395000.0,1281.0,San Francisco,CA,1940,4360 25th St,94114.0,-122.43753814697266,37.74972152709961,0,French Maison duplex in highly desired Noe Valley totally detached from left-side neighbor. The sleek bottom unit is a 1 bed/1 bath currently vacant and remodeled with granite countertops stainless steel appliances upgraded bathroom and a chill patio. The top-floor unit is a 2 bed/1bath with old-world charm and rented by a stable long-term tenant. Large cavernous basement with the possibility of expansion and increasing the living space footprint. Shared 2 car garage and shared garden. Easy walk to Whole Foods & 24th St businesses restaurants and cafes; close to 24th St BART Mission St Valencia St the Castro and Twin Peaks.,USD,1870.0,1870.0,sqft,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,MULTI_FAMILY,San Francisco County
763,94578-2097152729,9,9656,13698,USA,2021-04-30,0,0,Listed for sale,1619740800000.0,1500000.0,491.0,San Leandro,CA,1952,1476 164th Ave,94578.0,-122.11144256591795,37.69606018066406,0,Qualified investors are extended the opportunity to acquire this RCFE licensed facility for 14 beds with excellent cash flow and strong future rental upside. Property offers 7 bedrms/3 baths spacious courtyard cozy living room with fireplace game room with French door.  Offering easy access to 580 transportation shopping.,USD,3054.0,3054.0,sqft,0.0,0.0,3054.0,1,0.0,0,0,0,0,0,0,MULTI_FAMILY,Alameda County
781,95054-153142526,9,9674,13713,USA,2021-05-17,0,0,Listed for sale,1621209600000.0,2250000.0,445.0,Santa Clara,CA,1963,950 Clyde Ave,95054.0,-121.95043182373048,37.389915466308594,0,This is a 5060 square foot 0.0 bathroom multi family home. This home is located at 950 Clyde Ave Santa Clara CA 95054.,USD,5060.0,5060.0,sqft,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,MULTI_FAMILY,Santa Clara County
953,95006-16158736,9,12222,17128,USA,2021-07-01,0,0,Listed for sale,1625097600000.0,349000.0,99.0,Boulder Creek,CA,1989,345 Everest Dr,95006.0,-122.16497039794922,37.15896987915039,0,Beautiful & private 2 acres tucked away on a quiet cul-de-sac in the highly desired Boulder Creek Country Club. What was once a 4bed/3bath 3512sq ft home is now a blank canvas awaiting its new masterpiece. Located in the CZU burn zone County Clearance is complete. Water power septic & Comcast on site. Paved access the entire way included the driveway. 10 minutes to Downtown Boulder Creek 35 minutes to the beach. New growth is all around.. This is a great opportunity to create your dream home!,USD,3512.0,3512.0,Acres,0.0,4.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Santa Cruz County
954,95006-2077428524,9,12223,17128,USA,2021-06-30,0,0,Listed for sale,1625011200000.0,1070999.0,558.0,Boulder Creek,CA,1945,12175 Monan Way,95006.0,-122.11627960205078,37.11138153076172,0,This unique property comes with 4 units which consists of 2 single family homes and a duplex. A fantastic income producing property with many options. You can rent out all 4 units or live in one and rent out the other 3. Nestled on a hilltop in a quiet neighborhood it is tucked away from Highway 9. Truly a nature lovers paradise you will get to enjoy daily the serene and peaceful setting surrounded by towering redwoods. All units were extensively renovated in 2016/2017 both inside and out.,USD,1919.0,1919.0,Acres,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,MULTI_FAMILY,Santa Cruz County
955,95006-16159042,9,12224,17128,USA,2021-06-30,0,0,Listed for sale,1625011200000.0,475000.0,175.0,Boulder Creek,CA,1981,500 Hill House Rd,95006.0,-122.15784454345705,37.17247009277344,0,"""Extraordinary opportunity in every way. 100% pre-clearance approvals for this sensational top of the hill end of the road parcel offering stupendous 270 degree views an enormous level building site (parking for a 8+vehicles) electricity water & Xfinity cable at building site swimming pool & equipment - hey camp here while you build! Groomed parcel with so many brand new improvements - solar electric gated entry new low retaining walls the entire length of driveway & downhill edges of parcel temporary power pole installed well certified & water lines to site theres even a hose bib!. Septic certified property surveyed soils report completed road Fire Marshall certified.  Parcel will also have Big Basin Water when the new tank for that neighborhood is installed plus shared well.  Only 10 min to town & 5 minutes to BC Golf Course! This is the absolute best value around!""",USD,2712.0,2712.0,Acres,0.0,3.0,0.0,0,0.0,0,0,1,0,0,0,LOT,Santa Cruz County
957,95006-16158748,9,12226,17128,USA,2021-06-29,0,0,Listed for sale,1624924800000.0,300000.0,238.0,Boulder Creek,CA,1973,825 Kings Hwy,95006.0,-122.15448760986328,37.16207504272461,0,Come be a part of a lovely neighborhood looking to be re-built. Located in the CZU Burn Zone. The previous home was a 3 bed/2 bath 1300+sq ft home with an attached garage & large front deck. Birds are chirping and the trees are full of new growth. This property is situated up on a sunny perch allowing for privacy yet a warm neighborhood feel. Big Basin Water septic & PG&E making for a jump start in the re-build process. County clearance is complete. Paved access to the property along with a paved driveway. Minutes away from the Boulder Creek Country Club & only 10 minutes to downtown Boulder Creek. The last couple of photos are from the previous home for reference. Take a look for yourself this property is a special one!,USD,1260.0,1260.0,Acres,0.0,3.0,0.0,0,0.0,0,0,0,1,0,0,LOT,Santa Cruz County
961,95006-16157618,9,12230,17128,USA,2021-06-23,0,0,Listed for sale,1624406400000.0,199000.0,133.0,Boulder Creek,CA,1935,111 Aspen Ln,95006.0,-122.15129089355467,37.13761901855469,0,This lovely property features a double lot (18165 SqFt /\xa00.41701102 acres) located in a neighborhood that is re-building after the CZU fires. Previous house approximately 1054 square feet with a detached garage with a semi circular driveway that offered ample parking space. Beautiful quiet area. Good sunlight. End of the road cul-de-sac. (The cabin across the street did not burn in the fires.) Another nice feature of this neighborhood is there is a road association that also includes the use of the local swimming pool which is only a few minutes down the road for the hot summer days. Come build your dream from the ground up.,USD,1494.0,1494.0,Acres,0.0,3.0,0.0,1,0.0,0,0,0,0,0,0,LOT,Santa Cruz County
962,95006-16157096,9,12231,17128,USA,2021-06-21,0,0,Listed for sale,1624233600000.0,175000.0,146.0,Boulder Creek,CA,1945,570 Willow Ave,95006.0,-122.13079833984376,37.13542938232422,0,Property victim of CZU fire 2020. Most of neighborhood remains intact. Includes 5 parcels 082-103-13 (home parcel) 082-103-01 082-101-02 082-102-13 082-102-14 totaling 0.685 acres. End of road privacy. Previous home listed in records at 2/1 830 sq ft.,USD,1200.0,1200.0,Acres,0.0,2.0,0.0,1,0.0,0,0,0,0,0,0,LOT,Santa Cruz County
964,95006-16158363,9,12233,17128,USA,2021-06-14,0,0,Price change,1625788800000.0,199000.0,293.0,Boulder Creek,CA,1942,955 Creek Dr,95006.0,-122.14522552490234,37.17098236083984,0,"""This was a darling little Riverside Grove cottage with a basement before it was destroyed in the CZU fire last year. This is a nice  flat sunny location backed up to the creek but outside of flood zones. It has  good street access and we are confirming if the septic is still in place.  San Lorenzo Water and Electric hook ups at the property. . Final approvals and clearances from the county have been completed for the property clean up and ready to start a rebuild. Measures approximately 78 x 100. Seller doesnt have the funds to rebuild but misses this sunny spot in the redwoods with nice neighbors. Buyers to investigate building options with the county and confirm utility and septic locations.""",USD,680.0,680.0,sqft,0.0,1.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Santa Cruz County
968,95006-16158635,9,12237,17128,USA,2021-06-01,0,0,Sold,1423785600000.0,780000.0,269.0,Boulder Creek,CA,1994,423 Lodge Rd,95006.0,-122.18363189697266,37.17375564575195,0,Rebuild for Resilience. Imagine building your dream home on this stunning 3.48 acre parcel located on a hill of its own surrounded by majestic redwoods. Be a part of a community that is rebuilding from the ground up. This property has great views and peaceful privacy. This property has several flat areas at different elevations creating opportunities for multiple structures with separation. Its .5 mile from the main road to a paved driveway. Pre-application Clearance is 100% completed and clearances issued. The site is ready for you to begin to design your own dream home in the mountains. Just a 10-minute walk from the back entrance to Big Basin State Park & 8-min drive to the Boulder Creek Country Club & Golf course; 10-minute drive into town on Big Basin Way.  Utilities & Services: wells (*cost estimate to fix well will be provided) septic tank leach lines propane gas electric telephone; trash service.,USD,2904.0,2904.0,Acres,0.0,3.0,0.0,0,0.0,0,0,0,1,0,0,LOT,Santa Cruz County
971,95006-16158359,9,12240,17128,USA,2021-05-26,0,0,Price change,1625011200000.0,250000.0,336.0,Boulder Creek,CA,1939,975 Creek Dr,95006.0,-122.14566802978516,37.171119689941406,0,Home burned down in 2020 fires. Was a darling 2 bedroom cabin style home. Detached studio/cottage still standing in rough condition. Shed was also spared however back wall burnt. Hoping new buyer can restore this beautiful property to its full potential.,USD,743.0,743.0,Acres,0.0,2.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Santa Cruz County
972,95006-16158246,9,12241,17128,USA,2021-05-22,0,0,Listed for sale,1621641600000.0,425000.0,297.0,Boulder Creek,CA,1979,1420 Pinecrest Dr,95006.0,-122.15206909179688,37.17874526977539,0,Beautiful private property at the end of the road.  Located in the CZU burn zone.  Trees are sprouting green again.   5.5 acres with a home site a barn site and a garden area.  Community well transformer  at the edge of the property  Electrical box in street on property  Access is paved roads all of the way.    We now have STATE CLEARANCE!    County letter to seller says that the property has been cleared of debris and that the property was tested and found to meet the Santa Cruz County goals for acceptable levels of metals and that the property is now approved for obtaining a temporary housing or rebuilding permit.   Info not verified,USD,1432.0,1432.0,Acres,0.0,3.0,0.0,1,0.0,0,0,0,0,0,0,LOT,Santa Cruz County
973,95006-16158728,9,12242,17128,USA,2021-05-13,0,0,Price change,1625702400000.0,299000.0,103.0,Boulder Creek,CA,1981,24 Everest Dr,95006.0,-122.16647338867188,37.1590461730957,0,Amazing new price a great value at $299000!  Now listed 26k less than 320 Everest ( smaller parcel) that closed escrow in May 2021. Seller has had septic inspected & is in good condition. Great opportunity to build your Dream Home on nearly 2.3 acres of sunny privacy. Previously the site of a beautiful 2900+ sf home with 4 bedrooms 3.5 baths that was lost in the Santa Cruz CZU fires of last year. The Sellers have completed clearances from the County & site is ready to be built on. They are avid gardeners & many varieties of fruit trees adorn the meadow: Morello Blood Orange Peach Plum and Pluerry- a tasty hybrid of plum & cherries! The Septic system is installed in the meadow and Big Basin Water will provide a Will Serve Letter for Buyers. The Building pad is cleared and easy to visualize future development. However I did include several photos of the previous home for illustration purposes. Also there are several iphone photos of flowers & wildlife for illustration.,USD,2914.0,2914.0,Acres,0.0,4.0,0.0,1,0.0,0,0,0,0,0,0,LOT,Santa Cruz County
